date,samplers,treatment,tank_rep,tank,time_point,oyster_ID,wet_weight_g,shell_height_mm,shell_length_mm,shell_width_mm,health_vitality,condition,mantle_recession,conchiolin_deposits,digestive_gland_colouration,lesion,tray_weight_g,tray_tissue_wet_weight_g,tissue_wet_weight_g,tray_tissue_dry_weight_g,tissue_dry_weight_g,comments,Photo ID#,
2023-02-23,"JE, KR, SM, IG, MF, CJ",ambient,1,10,end,1,276.75,137.5,70.5,50.5,n,2,0,0,0,0,6.0274,47.0768,41.0494,17.4092,11.3818,,1460,
2023-02-23,"JE, KR, SM, IG, MF, CJ",ambient,1,10,end,2,112.70,106.0,57.0,33.0,n,2,1,1,0,0,6.0676,24.1686,18.1010,11.0275,4.9599,,1461,
2023-02-23,"JE, KR, SM, IG, MF, CJ",ambient,1,10,end,3,74.96,83.0,61.0,29.5,n,2,1,1,0,0,6.0193,19.0260,13.0067,9.6997,3.6804,,1462,
2023-02-23,"JE, KR, SM, IG, MF, CJ",ambient,1,10,end,4,50.80,83.5,50.5,22.0,n,2,2,2,0,0,6.0007,12.9146,6.9139,7.6263,1.6256,,1463,
2023-02-23,"JE, KR, SM, IG, MF, CJ",ambient,1,10,end,5,52.39,71.5,51.0,29.0,n,2,1,0,0,0,6.074,11.4391,5.3651,7.3255,1.2515,,1464,
2023-02-23,"JE, KR, SM, IG, MF, CJ",ambient,2,23,end,6,184.46,113.0,71.5,36.5,n,1,1,0,0,0,6.0121,30.5369,24.5248,11.9909,5.9788,,1465,
2023-02-23,"JE, KR, SM, IG, MF, CJ",ambient,2,23,end,7,77.15,87.5,56.0,29.0,n,1,1,0,0,0,6.0611,16.7630,10.7019,8.9542,2.8931,,1466,
2023-02-23,"JE, KR, SM, IG, MF, CJ",ambient,2,23,end,8,82.76,87.0,63.5,34.0,n,2,0,0,0,0,6.0611,22.1947,16.1336,10.2829,4.2218,,1467,
2023-02-23,"JE, KR, SM, IG, MF, CJ",ambient,2,23,end,9,44.60,81.5,47.5,23.5,n,1,1,0,0,0,6.1356,12.1680,6.0324,7.6705,1.5349,,1468,
2023-02-23,"JE, KR, SM, IG, MF, CJ",ambient,2,23,end,10,46.93,77.5,45.5,27.5,n,2,0,1,0,0,6.0978,12.7027,6.6049,7.5933,1.4955,,1469,
2023-02-23,"JE, KR, SM, IG, MF, CJ",ambient,3,40,end,11,269.88,122.0,71.5,42.0,n,2,0,0,0,0,6.0666,48.5152,42.4486,16.3740,10.3074,,1470,
